Name,location,stipend,company_id,skills,hiring
Unacademy,"
Bangalore ","₹ 15,000 - 20,000 ",0,"['Video Editing', 'Hindi Proficiency (Spoken)']",Actively hiring
Export Genius,"
Delhi, Rohini ","₹ 10,000 - 12,000 ",1,"['Digital Marketing', 'Email Marketing', 'Sales Management', 'Sales Support', 'Sales', 'Marketing', 'Effective Communication']",Actively hiring
ConnectingDots Infotech,"
Pune ","₹ 15,000 - 25,000 ",2,"['Email Marketing', 'LinkedIn Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Sales', 'Email Management']",Actively hiring
UpGrad,"
Dera Bassi ","₹ 11,000 ",3,['Effective Communication'],Actively hiring
Visomni Technologies,"
Raipur ","₹ 10,000 - 17,500 ",4,"['OpenCV', 'Python', 'Yolo']",Actively hiring
WAH FILMS,"
Mumbai ","₹ 15,000 ",5,"['Adobe Photoshop', 'Video Editing', 'Adobe Premiere Pro', 'Canva']",Actively hiring
Whistlefetch Technologies Private Limited,"
Bangalore                                                                (Hybrid)
                                        


","₹ 15,000 - 20,000 ",6,"['Social Media Marketing', 'Field Work', 'English Proficiency (Spoken)', 'Hindi Proficiency (Spoken)', 'Tamil Proficiency (Spoken)', 'Kannada Proficiency (Spoken)', 'Sales']",Actively hiring
Hirednex,"
Indore ","₹ 18,000 ",7,"['MS-Office', 'Teaching', 'MS-Excel', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Hindi Proficiency (Spoken)', 'Interpersonal skills']",Actively hiring
Surge Media,"
Mumbai ","₹ 12,000 - 15,000 ",8,"['Adobe Photoshop', 'CorelDRAW', 'Adobe Illustrator', 'Video Editing', 'UI & UX Design', 'Image Editing']",Actively hiring
Artificia Intellec Pvt Ltd,"
Vadodara ","₹ 16,000 - 32,000 ",9,"['Social Media Marketing', 'Digital Marketing', 'Email Marketing', 'Counseling', 'Human Resources', 'English Proficiency (Spoken)', 'English Proficiency (Written)']",Actively hiring
Education Conscience Trust,"
Hyderabad ","₹ 1,500 - 4,000 /week",10,"['English Proficiency (Spoken)', 'Interpersonal skills', 'Effective Communication']",Actively hiring
Media Tribe,"
Jaipur ","₹ 5,000 ",11,"['Google Analytics', 'Search Engine Marketing (SEM)', 'WordPress', 'Digital Marketing', 'Google AdWords', 'Search Engine Optimization (SEO)', 'Web development']",Actively hiring
ConversAIlabs,"
Delhi                                                                (Hybrid)
                                        


","₹ 5,000 - 8,000 ",12,['English Proficiency (Written)'],Actively hiring
Spectrum Cable-Tech,"
Ahmedabad, Sanand ","₹ 12,000 - 15,000 ",13,"['Marketing', 'Field Sales']",Actively hiring
